Nama Pemohon/Institusi,Emel,No. K/P (baru)/Polis/Tentera/No. Pasport,No. Telefon Bimbit,Declared Income,Savings,Investment (Stocks/Bonds),Gold (grams),Property (number),Profession,Location,Donation Frequency,Average Donation Amount,Fraud Label (Rule-Based)
Ng bin Ah Meng,ng.ah.meng80@outlook.my,520114-57-9905,016-39194141,7211,24705.42,0,77,0,IT Specialist,Petaling Jaya,3,4844.1,Not Fraud
Zainab binti Muhammad,zainab.muhammad81@yahoo.com,001224-29-3648,019-68708796,8688,56829.99,195785.88,0,0,Engineer,Bangsar,7,4476.64,Fraud
Yap bin Wei Lun,yap.wei.lun3@outlook.my,580811-33-8039,011-5224026,6789,85588.92,1767.1,0,0,IT Specialist,Bangsar,10,66.94,Not Fraud
Razak bin Ismail,razak.ismail42@msn.com,520622-31-3551,017-4628902,11231.87,21220.52,148356.67,0,0,Engineer,Mont Kiara,5,729.37,Not Fraud
Tan bin Kok Leong,tan.kok.leong89@msn.com,530820-30-8383,012-47834243,10629.79,74214.56,0,0,2,Engineer,Mont Kiara,1,3956.42,Not Fraud
Wong binti Yee Von,wong.yee.von42@msn.com,660911-43-2244,017-29704354,15383.81,5912.14,0,0,0,Accountant,Damansara Heights,3,520.61,Not Fraud
Ahmad bin Ali,ahmad.ali47@yahoo.com,980312-31-2935,011-15699120,5648.28,0,1826.09,409,0,IT Specialist,Cheras,10,131.3,Not Fraud
Goh binti Shi Hui,goh.shi.hui32@yahoo.com,851028-50-9752,012-2122512,6291.97,62626.68,0,0,0,Farmer,Cheras,7,506.04,Not Fraud
Ahmad bin Syazwan,ahmad.syazwan66@gmail.com,721217-53-4981,018-1015136,28314.1,4191.4,85595.63,127,2,Engineer,Mont Kiara,11,233.05,Not Fraud
Ng bin Jun Jie,ng.jun.jie11@msn.com,921230-31-7387,010-63145298,5234,0,116968.72,0,0,Farmer,Bangsar,10,3747.23,Not Fraud
Chua binti Siew Mei,chua.siew.mei97@outlook.my,700602-43-8544,017-6990051,27470.93,61368.58,109462.52,0,0,Business Owner,Kuala Lumpur City Centre,6,2748.66,Not Fraud
Ismail bin Hafiz,ismail.hafiz93@hotmail.com,940725-16-9353,014-7592444,5983.01,0,196544.67,0,0,Accountant,Kuala Lumpur City Centre,4,356.22,Not Fraud
Farah binti binti Abdullah,farah..abdullah33@msn.com,821218-03-3564,019-1954307,10492,5538.24,82010.42,0,3,IT Specialist,Bangsar,8,1165.4,Not Fraud
Zainab binti Khairul,zainab.khairul29@yahoo.com,640503-40-8232,010-1958141,13833,8642.61,199864.25,229,0,Accountant,Petaling Jaya,3,4105.95,Not Fraud
Ali bin Razak,ali.razak24@yahoo.com,520708-47-9871,011-5131221,7856.96,0,0,152,0,Farmer,Mont Kiara,1,2663.78,Not Fraud
Abdullah bin Syazwan,abdullah.syazwan58@gmail.com,930322-13-9425,010-6521397,7149.81,11401.1,122552.68,0,0,Retired,Mont Kiara,12,2786.92,Not Fraud
Aminah binti Ahmad,aminah.ahmad70@hotmail.com,560515-30-4812,012-0406296,6763.01,39733.76,113409.79,0,0,IT Specialist,Cheras,3,2062.68,Not Fraud
Ali bin Singh,ali.singh88@yahoo.com,600923-58-4077,018-1154543,6881.5,51009.73,0,130,0,Farmer,Kuala Lumpur City Centre,9,161.33,Not Fraud
Kumar bin Ganesh,kumar.ganesh28@gmail.com,631116-03-6169,012-36398967,18225.43,63409.74,60359.33,338,0,Teacher,Kuala Lumpur City Centre,8,2288.33,Not Fraud
Teoh binti Yee Von,teoh.yee.von2@hotmail.com,780525-45-9080,012-31645795,26955.46,0,121341.36,0,0,Engineer,Cheras,4,3535.72,Not Fraud
Aminah binti Ismail,aminah.ismail36@hotmail.com,531201-42-1908,019-0491147,0,40222.07,0,335,2,Unemployed,Subang Jaya,7,2169.9,Fraud
Azizah binti Hafiz,azizah.hafiz81@gmail.com,011219-13-4766,014-5159806,0,19168.34,108383.93,0,0,Unemployed,Subang Jaya,3,3217.88,Fraud
Lee bin Wei Kang,lee.wei.kang65@outlook.my,630903-48-7927,019-80597235,4432.51,48368.01,79901.4,0,0,Farmer,Mont Kiara,2,69.58,Not Fraud
Sharifah binti Abdullah,sharifah.abdullah86@gmail.com,980526-23-7786,014-9715220,2808,4843.61,79340.09,0,0,Retired,Subang Jaya,12,1753.46,Fraud
Noraini binti Singh,noraini.singh36@hotmail.com,741222-52-7076,019-9778624,27023.78,91593.35,184379.69,425,0,Engineer,Kuala Lumpur City Centre,9,2944.42,Not Fraud
Siti binti Abdullah,siti.abdullah35@outlook.my,670312-33-4746,013-0135410,5196.28,31481.43,1999.66,385,0,Retired,Kuala Lumpur City Centre,5,4762.35,Not Fraud
Ahmad bin bin Abdullah,ahmad..abdullah79@outlook.my,550327-49-7307,010-3103500,7056.55,4462.04,11318.75,0,4,Teacher,Cheras,5,4389.25,Not Fraud
Sharifah binti Ismail,sharifah.ismail12@outlook.my,710915-50-8316,018-6540683,6585,52981.47,0,0,0,Farmer,Bangsar,8,1123.51,Not Fraud
Ahmad bin Muhammad,ahmad.muhammad15@yahoo.com,040510-26-2123,017-52768753,12326,63449.21,0,0,0,Doctor,Bangsar,12,2176.15,Fraud
Ali bin Syazwan,ali.syazwan56@outlook.my,981231-37-8141,016-02686943,32391.96,92816.59,147677.4,215,0,Doctor,Mont Kiara,12,3154.53,Not Fraud
Ali bin Ali,ali.ali45@outlook.my,790613-42-1603,019-71140181,11704.73,71535.17,0,152,0,Accountant,Mont Kiara,11,1038.19,Not Fraud
Tan bin Wei Kang,tan.wei.kang64@hotmail.com,830119-14-1219,010-9474752,5621.61,28314.95,156847.39,0,0,Retired,Mont Kiara,5,2280.05,Not Fraud
Malar binti Ramesh,malar.ramesh32@msn.com,581207-33-7968,016-52360296,7092,38628.24,0,0,0,Accountant,Subang Jaya,12,4136.49,Fraud
Farah binti bin Abdullah,farah..abdullah42@hotmail.com,661003-12-3184,014-3870355,29594,13997.6,131783.5,0,2,Business Owner,Subang Jaya,8,3474.2,Not Fraud
Chua bin Wei Kang,chua.wei.kang85@msn.com,560319-32-3831,017-4658610,6672,51812.52,103559.45,279,0,Sales Manager,Petaling Jaya,2,2095.33,Fraud
Syazwan bin Khairul,syazwan.khairul84@yahoo.com,690105-22-2191,013-0072551,13717.25,4043.09,25539.32,0,2,Accountant,Damansara Heights,2,4655.93,Not Fraud
Muhammad bin Razak,muhammad.razak94@msn.com,600225-09-7703,019-85847751,17048.68,80272.15,0,0,0,Sales Manager,Mont Kiara,4,631.03,Not Fraud
Sharifah binti Syazwan,sharifah.syazwan85@outlook.my,830804-47-4528,010-3036409,27389,36309.48,0,0,0,Doctor,Bangsar,2,954.4,Not Fraud
Wong bin Kok Leong,wong.kok.leong77@msn.com,880924-50-1221,016-87780335,18668.98,5823.09,138947.03,183,0,Doctor,Kuala Lumpur City Centre,5,3606.41,Not Fraud
Tan binti Jia Yi,tan.jia.yi14@msn.com,741205-13-2776,012-12636591,0.0,0,0,67,3,Unemployed,Damansara Heights,1,549.02,Not Fraud
Amirul bin Khan,amirul.khan17@yahoo.com,970706-14-6801,017-69884143,0,0,29292.77,351,0,Unemployed,Bangsar,10,2467.88,Fraud
Teoh bin Wei Jie,teoh.wei.jie92@hotmail.com,850113-32-4753,012-31494718,1792.31,91560.55,39820.27,219,0,Retired,Kuala Lumpur City Centre,7,4238.25,Fraud
Goh binti Siew Mei,goh.siew.mei61@outlook.my,830527-38-2446,019-3616064,6687.51,26353.69,67619.61,18,0,Retired,Mont Kiara,8,1162.37,Not Fraud
Ng bin Wei Jie,ng.wei.jie87@hotmail.com,890821-32-2535,011-6095383,8321.94,25946.23,0,0,3,Sales Manager,Kuala Lumpur City Centre,10,4205.92,Fraud
Yap binti Mei Ling,yap.mei.ling75@hotmail.com,990701-48-1744,014-9819070,10753,41020.27,64808.33,0,2,Teacher,Petaling Jaya,6,564.73,Not Fraud
Ng binti Hui Xin,ng.hui.xin92@hotmail.com,800719-34-4282,019-6926366,22781.19,13995.51,61250.28,407,0,Business Owner,Cheras,5,3703.19,Not Fraud
Yap binti Mei Ling,yap.mei.ling49@yahoo.com,961111-28-5586,011-0548643,10906,0,0,367,2,Sales Manager,Petaling Jaya,9,71.13,Not Fraud
Lee binti Pei Shan,lee.pei.shan88@outlook.my,560721-15-2356,019-0609927,2751,57622.07,0,110,4,Retired,Subang Jaya,4,4615.72,Not Fraud
Hafiz bin Muhammad,hafiz.muhammad61@outlook.my,770104-33-4123,010-4217236,5014,85844.29,125421.86,0,0,Retired,Bangsar,10,2728.72,Not Fraud
Abdullah bin Khairul,abdullah.khairul96@hotmail.com,860507-45-6963,018-08834797,2259,34310.01,174170.01,132,0,Retired,Petaling Jaya,6,4054.86,Fraud
Zainab binti Khairul,zainab.khairul48@msn.com,570410-09-8282,011-6150700,0.0,0,36819.72,6,0,Unemployed,Damansara Heights,2,339.53,Not Fraud
Ahmad bin Singh,ahmad.singh91@gmail.com,930616-14-5197,016-2205872,11126,99857.24,0,0,0,IT Specialist,Subang Jaya,10,2659.6,Not Fraud
Ong binti Jia Yi,ong.jia.yi23@yahoo.com,630101-24-3172,017-4974487,10771,65504.02,121819.58,0,0,Teacher,Bangsar,3,3315.52,Not Fraud
Abdullah bin Ahmad,abdullah.ahmad44@gmail.com,511025-28-9599,019-6284029,17489,90446.24,0,0,0,Doctor,Subang Jaya,11,3833.03,Not Fraud
Siti binti Ismail,siti.ismail8@yahoo.com,540410-45-5842,011-04517562,7616.8,0,187525.59,0,0,Teacher,Damansara Heights,5,1936.47,Fraud
Amirul bin Abdullah,amirul.abdullah34@yahoo.com,551214-45-5793,013-16329972,13395.58,0,175112.76,245,0,Sales Manager,Mont Kiara,12,2258.84,Not Fraud
Azizah binti Abdullah,azizah.abdullah47@gmail.com,611102-22-3020,014-19167793,0.0,87900.34,0,202,0,Unemployed,Kuala Lumpur City Centre,3,4257.16,Not Fraud
Khairul bin Ali,khairul.ali28@gmail.com,020823-14-7775,019-77192302,6332,25832.95,53436.1,111,0,Farmer,Petaling Jaya,11,257.2,Not Fraud
Ahmad bin binti Abdullah,ahmad..abdullah78@outlook.my,870422-13-1285,014-70890817,10261.34,67125.68,25110.24,62,0,Engineer,Cheras,10,390.32,Fraud
Syazwan bin Amirul,syazwan.amirul99@hotmail.com,590129-02-6731,017-8152956,7741.56,38099.49,0,6,1,Teacher,Cheras,4,2703.15,Not Fraud
Farah binti Muhammad,farah.muhammad61@gmail.com,580719-57-5414,014-9001969,5780.68,32891.26,16317.82,0,0,Retired,Damansara Heights,2,4404.44,Not Fraud
Ahmad bin Razak,ahmad.razak42@msn.com,870129-49-9923,019-5232017,3047,50129.09,0,0,0,Retired,Bangsar,2,1144.36,Not Fraud
Hafiz bin binti Abdullah,hafiz..abdullah78@msn.com,611010-53-7595,011-18607135,1818.47,97702.36,0,0,0,Retired,Mont Kiara,7,4581.75,Fraud
Ahmad bin binti Abdullah,ahmad..abdullah26@msn.com,760806-40-8669,012-77155482,25246,95655.66,86603.29,0,5,Doctor,Subang Jaya,9,3924.91,Not Fraud
Wong bin Wei Lun,wong.wei.lun68@gmail.com,011116-12-1217,011-1449202,5374.13,46075.63,11846.89,0,0,Retired,Cheras,12,4308.51,Not Fraud
Ng bin Wei Jie,ng.wei.jie55@gmail.com,620706-25-5823,010-11661537,5381.71,76825.15,0,15,2,Accountant,Cheras,1,380.26,Fraud
Wong binti Shi Hui,wong.shi.hui55@msn.com,521003-11-4726,013-82256954,26662.2,61754.74,129675.46,30,0,Doctor,Kuala Lumpur City Centre,11,2699.7,Not Fraud
Ismail bin Syazwan,ismail.syazwan18@yahoo.com,680516-36-8677,012-7193439,6644.71,91828.4,0,419,0,Accountant,Kuala Lumpur City Centre,2,3601.3,Not Fraud
Ahmad bin binti Abdullah,ahmad..abdullah57@hotmail.com,540321-24-3229,016-9856716,4935.9,80336.62,0,437,0,Farmer,Cheras,9,219.31,Not Fraud
Lim bin Jun Jie,lim.jun.jie77@hotmail.com,690624-54-7099,011-7353567,0,0,163346.05,234,0,Unemployed,Bangsar,7,1963.12,Fraud
Aishah binti Khan,aishah.khan32@yahoo.com,731224-27-9148,011-53046877,15798.17,63334.67,0,134,0,IT Specialist,Mont Kiara,6,2954.39,Not Fraud
Hafiz bin Ahmad,hafiz.ahmad16@yahoo.com,690721-33-1175,019-4575233,4572.29,4216.26,100972.2,257,0,Retired,Damansara Heights,11,4004.42,Not Fraud
Tan binti Siew Mei,tan.siew.mei70@msn.com,690126-35-1984,011-74573470,18810.16,93414.29,125785.15,0,0,Accountant,Mont Kiara,4,2714.21,Not Fraud
Chua bin Jun Jie,chua.jun.jie55@yahoo.com,790717-11-2203,018-09597535,25842,25524.39,69822.35,149,0,Business Owner,Bangsar,11,282.46,Not Fraud
Syazwan bin Syazwan,syazwan.syazwan88@hotmail.com,550327-42-5083,016-11728103,12649,23604.18,0,0,0,Sales Manager,Subang Jaya,5,4740.96,Not Fraud
Ahmad bin Khairul,ahmad.khairul78@gmail.com,980330-34-6389,016-4364561,0.0,39928.25,113033.61,0,1,Unemployed,Mont Kiara,7,3923.7,Fraud
Teoh bin Wei Lun,teoh.wei.lun19@outlook.my,690716-35-9189,018-26943944,3270.43,0,0,0,2,Retired,Damansara Heights,1,4987.84,Not Fraud
Sharifah binti Abdullah,sharifah.abdullah74@outlook.my,581028-22-2972,010-5740651,15734.87,40295.32,0,440,0,Accountant,Damansara Heights,8,3552.56,Not Fraud
Zainab binti Hafiz,zainab.hafiz85@msn.com,700614-15-6226,018-45454593,11380.76,55044.42,0,0,5,Doctor,Mont Kiara,11,3475.93,Fraud
Noraini binti Khan,noraini.khan36@gmail.com,680706-34-2400,010-13592902,11625,20914.49,0,0,0,Sales Manager,Petaling Jaya,10,321.24,Not Fraud
Ong bin Zi Xuan,ong.zi.xuan31@gmail.com,581029-32-7277,014-41981310,22265,57869.55,0,0,0,Doctor,Petaling Jaya,2,2929.55,Not Fraud
Farah binti Razak,farah.razak62@gmail.com,060807-13-5814,016-35089501,7442,14494.64,120712.56,313,0,IT Specialist,Subang Jaya,2,1605.43,Not Fraud
Chua binti Jia Yi,chua.jia.yi48@outlook.my,050801-31-1818,018-5809451,0,79334.71,164914.71,15,0,Unemployed,Petaling Jaya,12,1993.14,Fraud
Khairul bin Ismail,khairul.ismail5@yahoo.com,670402-40-8449,013-3803690,6288,54506.73,141239.86,0,0,Accountant,Bangsar,2,4918.54,Not Fraud
Azizah binti Syazwan,azizah.syazwan66@gmail.com,880828-37-3550,016-54550233,21167.86,0,59579.99,0,0,Doctor,Mont Kiara,4,4361.97,Not Fraud
Aminah binti Syazwan,aminah.syazwan42@gmail.com,541218-09-7162,017-6987559,25576.81,18571.53,135731.18,0,1,Engineer,Kuala Lumpur City Centre,2,3160.2,Not Fraud
Azizah binti Amirul,azizah.amirul42@yahoo.com,950501-10-4208,019-66174110,0.0,64154.53,166620.99,154,0,Unemployed,Mont Kiara,8,781.01,Fraud
Mani bin Kumar,mani.kumar95@outlook.my,840213-13-7575,010-63673589,6722.2,71785.97,0,0,0,Teacher,Mont Kiara,8,2771.4,Not Fraud
Razak bin Ismail,razak.ismail46@yahoo.com,000828-38-1161,016-0321994,6754,99168.35,183188.73,0,2,Farmer,Subang Jaya,3,3213.58,Not Fraud
Tan bin Wei Kang,tan.wei.kang75@yahoo.com,930705-25-8587,018-69856641,11860,59599.07,86933.24,0,0,Doctor,Petaling Jaya,1,2137.78,Not Fraud
Razak bin Ahmad,razak.ahmad92@gmail.com,900407-24-2255,019-48290515,8887.66,57276.11,0,0,0,Teacher,Kuala Lumpur City Centre,2,1727.91,Not Fraud
Ng bin Zi Xuan,ng.zi.xuan4@hotmail.com,670924-47-4961,017-1179094,15575.15,0,0,45,0,Accountant,Kuala Lumpur City Centre,11,2033.64,Not Fraud
Aminah binti Khairul,aminah.khairul48@yahoo.com,520623-38-5144,019-4373926,7263.46,0,0,0,0,Sales Manager,Cheras,10,4186.62,Not Fraud
Ahmad bin Hafiz,ahmad.hafiz39@msn.com,940728-43-5073,010-1089798,13799,22057.3,64309.83,318,0,Teacher,Petaling Jaya,9,4347.8,Not Fraud
Lim binti Jia Yi,lim.jia.yi75@msn.com,751216-27-5452,016-1522568,0.0,30012.0,0,0,0,Unemployed,Mont Kiara,12,1920.06,Fraud
Ismail bin Hafiz,ismail.hafiz68@gmail.com,610525-04-3541,016-3527159,16717.64,47127.6,60864.19,439,0,Sales Manager,Mont Kiara,8,1789.73,Not Fraud
Yap binti Shi Hui,yap.shi.hui71@gmail.com,720915-58-5616,018-5345683,13657.89,48730.46,142744.86,0,5,Accountant,Kuala Lumpur City Centre,8,4996.75,Not Fraud
Farah binti Khairul,farah.khairul12@gmail.com,570204-06-9958,012-59191652,4417,25812.22,97292.92,340,0,Retired,Bangsar,5,3335.56,Not Fraud
Syazwan bin Ismail,syazwan.ismail93@hotmail.com,990408-07-9185,018-8162567,7998.71,29380.88,0,0,3,IT Specialist,Damansara Heights,7,2383.9,Not Fraud
Ali bin Razak,ali.razak16@yahoo.com,830623-23-5577,014-11122471,26193,0,72307.8,0,0,Engineer,Petaling Jaya,12,4617.82,Not Fraud
Hafiz bin Ismail,hafiz.ismail26@msn.com,580101-07-7993,017-8008120,6892.29,80109.56,197664.44,0,0,Sales Manager,Damansara Heights,10,4698.71,Not Fraud
Razak bin Ahmad,razak.ahmad82@outlook.my,740205-50-2453,014-4907500,17048.98,39411.78,0,146,0,Engineer,Kuala Lumpur City Centre,9,1567.66,Not Fraud
Khairul bin Abdullah,khairul.abdullah74@outlook.my,000827-57-7637,017-3894213,6396,95241.89,141935.07,0,3,Farmer,Petaling Jaya,8,3310.97,Not Fraud
Farah binti Hafiz,farah.hafiz27@outlook.my,730924-42-2546,017-1895852,16928.94,52688.91,26532.44,393,0,Sales Manager,Damansara Heights,1,1120.6,Not Fraud
Syazwan bin Khan,syazwan.khan10@outlook.my,780724-45-8975,018-0709303,6536,85209.1,140910.01,0,2,Farmer,Bangsar,4,3736.63,Not Fraud
Fatimah binti Singh,fatimah.singh93@yahoo.com,580717-37-5480,013-8333183,20213.22,24143.26,160625.94,0,0,Business Owner,Damansara Heights,12,3825.61,Not Fraud
Ong bin Zi Xuan,ong.zi.xuan83@msn.com,910926-10-9319,018-3746301,31007.74,1274.75,0,0,2,Engineer,Mont Kiara,3,3383.27,Not Fraud
Lim binti Mei Ling,lim.mei.ling16@hotmail.com,631109-46-4900,012-42795807,12349,51063.01,38525.8,0,0,Sales Manager,Bangsar,8,621.45,Not Fraud
Ng binti Yee Von,ng.yee.von81@hotmail.com,880502-10-9626,016-9317651,29908,63668.06,0,0,0,Business Owner,Bangsar,10,3241.58,Not Fraud
Razak bin Ismail,razak.ismail51@msn.com,800315-49-5607,011-3676484,13876,0,0,0,0,Doctor,Bangsar,6,4617.96,Not Fraud
Goh binti Mei Ling,goh.mei.ling19@yahoo.com,560804-51-6520,013-20827693,0,31564.71,136826.27,0,0,Unemployed,Subang Jaya,3,3653.45,Fraud
Syazwan bin Singh,syazwan.singh61@gmail.com,711119-09-1747,018-11205063,6280,6756.01,10471.53,0,0,Accountant,Petaling Jaya,5,4019.03,Not Fraud
Muhammad bin Amirul,muhammad.amirul47@hotmail.com,540524-54-7711,017-89175999,4244,27116.3,17413.09,0,0,Farmer,Petaling Jaya,12,2707.45,Not Fraud
Lim bin Ah Meng,lim.ah.meng71@msn.com,880929-07-9481,014-73468075,2356,46955.35,71246.96,0,0,Retired,Petaling Jaya,4,3178.12,Fraud
Ahmad bin binti Abdullah,ahmad..abdullah56@msn.com,890603-42-3997,012-94815751,7537,0,0,0,0,IT Specialist,Petaling Jaya,2,2620.11,Not Fraud
Azizah binti Singh,azizah.singh99@gmail.com,610827-58-3154,010-40796308,7522,58364.48,55657.42,297,0,Farmer,Bangsar,9,271.05,Not Fraud
Razak bin bin Abdullah,razak..abdullah37@gmail.com,570528-27-7475,012-2034071,14925,78258.9,0,28,0,IT Specialist,Petaling Jaya,1,2776.6,Not Fraud
Zainab binti Ismail,zainab.ismail55@yahoo.com,890214-12-3822,013-99234894,5481.24,20042.71,115852.09,0,3,Accountant,Cheras,1,4249.14,Not Fraud
Goh binti Pei Shan,goh.pei.shan28@hotmail.com,631006-13-9434,011-93225399,5940.38,77693.6,0,0,0,Retired,Mont Kiara,8,1329.08,Not Fraud
Abdullah bin Khan,abdullah.khan47@yahoo.com,000731-56-3497,012-0276413,5820.49,10302.17,0,0,0,Farmer,Mont Kiara,3,3271.77,Not Fraud
Farah binti Razak,farah.razak48@gmail.com,020220-32-5098,016-44438480,20847,66045.56,0,0,0,Doctor,Bangsar,9,2056.2,Not Fraud
Lee binti Yee Von,lee.yee.von20@outlook.my,651104-40-4970,012-21541278,0,15268.01,13986.26,0,0,Unemployed,Subang Jaya,3,1236.35,Not Fraud
Lim bin Jia Hao,lim.jia.hao1@hotmail.com,931223-21-8335,014-1855248,0.0,54124.65,170209.42,0,0,Unemployed,Kuala Lumpur City Centre,2,4585.33,Fraud
Siti binti Khairul,siti.khairul51@yahoo.com,940415-05-4804,016-40847755,7279.72,13178.62,0,138,2,Retired,Mont Kiara,2,819.62,Not Fraud
Siti binti Syazwan,siti.syazwan87@hotmail.com,840303-09-2260,013-54908308,8417.96,12031.24,172861.61,354,2,Farmer,Damansara Heights,7,1512.79,Not Fraud
Aishah binti Singh,aishah.singh46@outlook.my,750306-28-2160,012-8383933,4142,38948.48,87687.48,0,0,Retired,Bangsar,6,1731.4,Not Fraud
Teoh bin Wei Kang,teoh.wei.kang45@msn.com,631204-02-2479,016-50364365,3732,55467.45,153927.2,239,0,Farmer,Bangsar,2,2121.99,Fraud
Ahmad bin Ali,ahmad.ali12@hotmail.com,651101-44-4211,014-3415942,0,46191.73,0,0,0,Unemployed,Petaling Jaya,3,141.98,Not Fraud
Lee binti Mei Ling,lee.mei.ling42@outlook.my,600913-21-3806,014-29354512,3601.33,78052.44,0,0,0,Farmer,Mont Kiara,10,4932.95,Fraud
Farah binti Ismail,farah.ismail80@gmail.com,020209-16-4832,010-7189924,25202,98839.44,47015.31,86,0,Doctor,Bangsar,9,2429.54,Not Fraud
Saras binti Ravi,saras.ravi35@outlook.my,780413-50-7494,014-2167047,0.0,84048.61,82155.64,0,0,Unemployed,Cheras,12,1758.36,Fraud
Ahmad bin Syazwan,ahmad.syazwan30@outlook.my,051016-53-1457,019-4759431,6668.54,0,14268.3,0,3,Farmer,Kuala Lumpur City Centre,2,1090.02,Not Fraud
Noraini binti Amirul,noraini.amirul2@hotmail.com,060625-14-9998,012-12540987,5675.98,91625.07,0,136,0,Retired,Mont Kiara,12,4533.23,Not Fraud
Teoh bin Wei Kang,teoh.wei.kang44@hotmail.com,851115-13-8383,014-07263259,5671,36888.96,78195.06,419,0,Retired,Subang Jaya,6,3111.32,Not Fraud
Ong binti Hui Xin,ong.hui.xin29@msn.com,640920-22-2084,016-2478442,15245,37001.5,0,398,0,Doctor,Subang Jaya,1,3547.57,Not Fraud
Goh bin Wei Jie,goh.wei.jie31@yahoo.com,880216-47-4495,010-6881071,0,25904.7,13157.33,177,4,Unemployed,Petaling Jaya,7,4459.58,Fraud
Lim bin Wei Lun,lim.wei.lun4@msn.com,861121-56-9227,014-0500362,11105,31501.7,192419.28,0,5,Accountant,Bangsar,2,4111.4,Not Fraud
Teoh binti Mei Ling,teoh.mei.ling20@hotmail.com,700707-44-1588,017-5630975,6150,0,196608.79,259,1,Farmer,Petaling Jaya,4,2544.37,Not Fraud
Aishah binti Amirul,aishah.amirul8@hotmail.com,830330-58-3526,010-44980418,11340,99433.28,12687.45,169,0,Doctor,Petaling Jaya,10,674.78,Not Fraud
Noraini binti Syazwan,noraini.syazwan10@msn.com,020410-05-9720,014-62918060,26342,80966.77,0,489,0,Engineer,Subang Jaya,11,494.79,Not Fraud
Ali bin Ismail,ali.ismail26@yahoo.com,780728-02-6229,014-0045831,2354.94,21630.69,78672.32,492,0,Retired,Cheras,8,4697.84,Fraud
Farah binti Singh,farah.singh61@yahoo.com,940119-57-2992,012-47925850,29104,82737.13,0,0,0,Business Owner,Petaling Jaya,8,1184.42,Not Fraud
Ong bin Wei Lun,ong.wei.lun21@hotmail.com,500903-52-2219,012-26813954,2275,89980.75,0,0,0,Retired,Petaling Jaya,8,2314.56,Fraud
Sharifah binti Singh,sharifah.singh11@gmail.com,550814-13-8304,010-9282327,21929,34612.38,56827.2,284,0,Doctor,Petaling Jaya,3,857.54,Not Fraud
Tan binti Yee Von,tan.yee.von77@yahoo.com,590428-40-7616,018-10060335,6210.65,0,0,258,4,Retired,Damansara Heights,3,1513.24,Not Fraud
Saras binti Ramesh,saras.ramesh67@yahoo.com,960305-14-1072,017-92711762,8839.89,0,0,130,5,Farmer,Kuala Lumpur City Centre,1,2925.3,Not Fraud
Ahmad bin Ismail,ahmad.ismail51@msn.com,520530-09-1411,011-11490913,21798.53,11372.57,61578.22,206,0,Doctor,Damansara Heights,11,2097.3,Not Fraud
Wong bin Wei Lun,wong.wei.lun24@yahoo.com,560208-55-2159,017-5076019,15097.21,74185.34,0,229,0,Business Owner,Cheras,3,3610.87,Not Fraud
Fatimah binti Razak,fatimah.razak25@yahoo.com,630730-29-4092,011-5199351,0,3473.96,109461.49,0,0,Unemployed,Bangsar,6,2308.74,Fraud
Fatimah binti Amirul,fatimah.amirul44@yahoo.com,610306-09-1362,014-94352568,5350,66695.79,117314.23,251,0,Retired,Petaling Jaya,8,1632.61,Not Fraud
Farah binti binti Abdullah,farah..abdullah42@hotmail.com,611004-21-3548,012-7273932,20085.22,39480.15,0,23,0,Doctor,Cheras,7,2792.0,Not Fraud
Teoh binti Yee Von,teoh.yee.von73@yahoo.com,740417-06-2520,011-48281209,7886,61813.82,128467.91,316,0,IT Specialist,Subang Jaya,1,2135.12,Not Fraud
Noraini binti bin Abdullah,noraini..abdullah33@outlook.my,900702-40-2356,010-5689240,3265,0,27292.32,131,0,Farmer,Bangsar,11,4661.71,Not Fraud
Aishah binti bin Abdullah,aishah..abdullah94@hotmail.com,891028-46-7002,014-24851560,13371.98,52082.12,141769.6,0,5,Sales Manager,Mont Kiara,1,3359.09,Not Fraud
Aminah binti Syazwan,aminah.syazwan39@yahoo.com,651206-03-8398,018-8099885,16926,0,0,223,0,Engineer,Petaling Jaya,3,654.06,Not Fraud
Razak bin binti Abdullah,razak..abdullah85@hotmail.com,920430-07-9075,016-5900544,12662.56,0,136034.13,0,0,Business Owner,Kuala Lumpur City Centre,9,721.5,Fraud
Noraini binti binti Abdullah,noraini..abdullah89@msn.com,050912-13-9782,016-02657674,0,86834.85,167977.94,331,0,Unemployed,Bangsar,1,2937.08,Fraud
Siti binti Ismail,siti.ismail30@outlook.my,930718-37-8702,017-69690009,7578,62925.91,151766.03,0,0,Teacher,Subang Jaya,6,4278.02,Not Fraud
Azizah binti binti Abdullah,azizah..abdullah45@yahoo.com,960724-55-3040,014-97674362,6967,46631.75,3669.15,0,0,Accountant,Bangsar,11,1095.26,Not Fraud
Fatimah binti Abdullah,fatimah.abdullah57@hotmail.com,821109-05-1046,014-1452158,10352,12034.72,2355.41,0,2,IT Specialist,Subang Jaya,2,1469.02,Not Fraud
Muhammad bin Ahmad,muhammad.ahmad71@gmail.com,761030-05-7459,017-42749779,36574.49,99260.05,0,0,0,Business Owner,Mont Kiara,7,2522.52,Not Fraud
Amirul bin Khan,amirul.khan30@hotmail.com,740304-49-8205,012-4079763,17879.04,99492.06,0,187,0,Engineer,Damansara Heights,2,1381.16,Not Fraud
Hafiz bin Ahmad,hafiz.ahmad78@outlook.my,930630-34-1447,013-89952461,15983.44,40609.32,116128.98,148,0,Teacher,Damansara Heights,7,2776.26,Not Fraud
